Nom_dé,Seed,Rank,Résultat
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713896801700,Iron,5
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897337100,Iron,6
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
base_dice,1712835713897866000,Iron,2
